品名,平均价
猪脑,21.5
猪腰子,13.0
猪蹄,23.25
猫眼螺,25.0
玉米,3.72
玉菇,2.65
王林,3.25
琵琶虾,42.5
甘蔗,1.9
甜王,2.5
生蚝,11.5
生鸭蛋,7.65
田螺,3.55
甲鱼,33.5
番茄,1.65
白不老,5.8
白条乌鸡,12.0
白条乳鸽,18.5
白条湖鸭,7.5
白条猪,10.81
白条鹅,13.0
白玉内酯豆腐,2.0
白玉北豆腐,3.8
白玉南豆腐,5.5
白玉菇,3.5
白玉豆浆,2.25
白萝卜,0.45
白虾,18.0
白虾（笼装）,34.75
白蛤,7.0
百香果,10.0
皇冠梨,5.5
盖菜,1.95
石榴,5.0
磨盘柿子,2.05
秋月梨,6.0
空心菜,8.5
穿心莲,2.75
箱鸡蛋,103.04
精品豆腐丝,5.75
精品豆腐干,4.75
精品豆腐泡,4.0
精牛柳,38.5
紫甘蓝,1.1
紫苏叶,5.0
紫薯,2.6
红啤梨,4.0
红宝石,7.5
红尖椒,3.5
红心蜜柚,3.3
红提,7.0
红薯,1.7
红香酥梨,3.0
纯排骨,26.25
纯瘦肉,12.25
纯腔骨,10.25
纯通脊,14.12
线椒,1.75
线茄,3.88
绿宝甜瓜,5.75
绿菜花,3.47
绿豆芽,0.98
网纹,5.0
罗非鱼,11.5
罗马生菜,3.6
羊上脑,31.5
羊头,13.0
羊小腿,20.0
羊尾巴油,8.0
羊心,16.5
羊排骨,24.5
羊肉片,32.5
羊肚,20.0
羊肝,7.0
羊肠,13.5
羊腩,24.5
羊腰子,13.5
羊腰窝,30.5
羊腱子肉,35.0
羊蝎子,21.0
羊角蜜,6.25
羊蹄,14.0
羊里脊,31.0
羊骨头,10.0
美人椒,3.75
耙耙柑、丑橘,6.0
肉鸡,7.0
肥牛,32.5
肥膘肉,5.5
胖头鱼,9.5
胡萝卜,0.84
腔排骨,16.5
芋头,3.5
芥兰,5.5
芦柑,2.75
花牛,4.0
花蛤,5.5
芹菜,0.65
苋菜,8.5
苦瓜,7.25
苦菊,3.03
茄子,1.65
茴香,2.75
茼蒿,4.0
草莓,21.83
草鱼,7.58
荠菜,4.5
荸荠,2.65
莲藕,2.75
莴笋,1.25
菊花菜,2.15
菜心,3.85
菠菜,3.18
葡萄柚,3.15
葱头,1.1
蒜米,2.6
蒜苗,4.4
蒜黄,4.25
蒿子秆,3.75
虹鳟鱼,21.5
蚕蛹,35.5
蛏子,14.0
蜜柚,2.5
蜜桔,3.4
螺丝椒,2.25
西芹,1.4
西葫芦,2.5
豆王,5.82
豆腐丝,4.3
豆腐干,3.5
豆腐泡,4.5
豆腐皮,4.5
豇豆,5.12
豌豆苗,5.0
贝贝南瓜,2.75
贵妃梨,2.5
赣南脐橙,3.9
辽峰,9.5
通脊,11.75
鄂、湘、川脐橙,3.9
酥梨,3.75
金丝南瓜,1.35
金桔,8.0
金针菇,4.0
金鲳鱼,19.0
钉螺,7.0
长茄,1.5
阳光玫瑰,17.5
阿克苏,6.0
雪花梨,4.75
青皮芒,7.5
青萝卜,0.9
青蒜,1.75
青蛤,13.5
青鱼,12.5
面包蟹,110.0
韭菜,3.58
香芹,1.25
香菇,5.0
香菜,3.88
香葱,2.85
香香内脂豆腐,1.0
香香北豆腐,3.0
高乐蜜,7.5
鱿鱼,18.88
鲍鱼,7.67
鲐鲅,5.0
鲟鱼,17.5
鲢鱼,4.12
鲤鱼,6.0
鲫鱼,9.0
鲶鱼,6.75
鳕鱼,7.5
鸡头,3.0
鸡心,6.0
鸡排腿,7.9
鸡架子,3.75
鸡毛菜,3.5
鸡油,5.5
鸡爪,21.5
鸡琵琶腿,8.8
鸡翅,12.0
鸡翅中,22.0
鸡翅尖,7.5
鸡翅根,8.65
鸡肝,3.0
鸡胗,15.0
鸡胸,7.1
鸡脖子,5.0
鸡边腿,6.9
鸭头,16.0
鸭心,5.25
鸭梨,4.0
鸭肝,5.0
鸭肠,8.5
鸭胗,13.0
鸭脖子,17.5
鸭腿,6.0
鸵鸟蛋,95.0
鸽子蛋,3.4
鹅蛋,19.0
鹌鹑蛋,6.6
麒麟,5.5
黄元帅,3.4
黄心菜,1.85
黄瓜,3.39
黄花鱼,17.83
黄蚬子,31.0
黄豆芽,0.88
黄鳝,33.0
黑枣,7.5
黑爪公鸡,14.5
黑美人,2.9
黑鱼,13.25
